thread_id,subject,entities_found,event_id,actor,actor_entity_id,recipient,recipient_entity_id,event_description,quoted_evidence,date_normalized,date_confidence,location_normalized,location_confidence,trafficking_flag,trafficking_confidence,trafficking_indicators,flag_reasoning,error,total_input_tokens,total_output_tokens
TEXT-001-HOUSE_OVERSIGHT_028926.txt_477,Fw: Fwd: Mr. Clinton and Mr. Epstein,Martin Weinberg (ENT_000013); Alan Dershowitz (ENT_000012); John Sullivan (ENT_000011); Bill Clinton (ENT_000007); The Washington Post (ENT_000014),EVT_002,John Sullivan,ENT_000011,Alan Dershowitz,ENT_000012,"Reporter John Sullivan from The Washington Post contacted Alan Dershowitz seeking to discuss allegations that former President Clinton spent time on Jeffrey Epstein's Caribbean Island, referencing a declaration Dershowitz filed in federal court stating he had reason to believe this was not true.","I'm John Sullivan, a reporter at The Washington Post. I've been reading with great interest stories about allegations that former President Clinton spent time on Jeffrey Epstein's Caribbean Island. In a declaration you filled in federal court you state that you have reason to believe this is not true. Are you available to discuss this with me?",2015-03-19,exact,"Washington, United States",explicit,False,0.0,,"Journalistic inquiry about alleged island visits by a political figure; contains no procurement language, references to unnamed individuals, sexual services, payments, coercion, or other trafficking indicators.",,3120,1239
IMAGES-011-HOUSE_OVERSIGHT_030525.txt_8512,Fwd: <no subject>,Ghislaine Maxwell (ENT_000015); Vicky Ward (ENT_000011); Prince Andrew (ENT_000016); Jimmy Cayne (ENT_000017); Les Wexner (ENT_000018); Steven Jude Hoffenberg (ENT_000019); Bear Stearns (ENT_000020); Limited Brands (ENT_000021); Towers Financial (ENT_000022); Vanity Fair (ENT_000023),EVT_001,Vicky Ward,ENT_000011,Jeffrey Epstein,ENT_000001,"Vicky Ward wrote a Vanity Fair article in 2003 titled 'The Talented Mr. Epstein' that focused on Epstein's business dealings, his mysterious exit from Bear Stearns in 1981, and his relationships with Jimmy Cayne, Les Wexner, and Steven Jude Hoffenberg. The piece alluded to Epstein's friendship with Ghislaine Maxwell and how she introduced him to young women.","I wrote a piece for Vanity Fair in 2003 called 'The Talented Mr. Epstein.' It was largely a business piece that focused on his mysterious exit from Bear Stearns in 1981, his close relationships with Jimmy Cayne, Les Wexner, the chairman of Limited Brands, and above all, the man who claimed to be his mentor, Steven Jude Hoffenberg... The piece alluded to Epstein's great friendship with Maxwell, and how she introduced him to young women with whom he had sexual relationships.",2003-01-01,approximate,,unknown,True,0.85,Introduction of Epstein to 'young women' by Ghislaine Maxwell; Vague description of 'young women' without names or context; Pattern of procurement through intermediary (Maxwell); Sexual relationships with these unnamed young women,The article explicitly describes Maxwell introducing Epstein to young women with whom he had sexual relationships. The vague characterization and intermediary procurement pattern are consistent with trafficking indicators.,,5145,2195
IMAGES-011-HOUSE_OVERSIGHT_030525.txt_8512,Fwd: <no subject>,Ghislaine Maxwell (ENT_000015); Vicky Ward (ENT_000011); Prince Andrew (ENT_000016); Jimmy Cayne (ENT_000017); Les Wexner (ENT_000018); Steven Jude Hoffenberg (ENT_000019); Bear Stearns (ENT_000020); Limited Brands (ENT_000021); Towers Financial (ENT_000022); Vanity Fair (ENT_000023),EVT_002,Jeffrey Epstein,ENT_000001,Vicky Ward,ENT_000011,Jeffrey Epstein sent Vicky Ward a book titled 'Math for idiots' via messenger to her home after they had discussed mathematics and she revealed she had not studied math since age 14.,"I remembered that when we'd once discussed math-in particular, an isosceles triangle-and I revealed I hadn't studied math since I was 14 (such is, or was, the way of the British educational system), I received a package at home via messenger. It was a book: 'Math for idiots.'",,unknown,,inferred,False,0.05,,Sending a book as a gift in response to a personal conversation shows no trafficking indicators. This is a benign personal interaction.,,5145,2195
IMAGES-011-HOUSE_OVERSIGHT_030525.txt_8512,Fwd: <no subject>,Ghislaine Maxwell (ENT_000015); Vicky Ward (ENT_000011); Prince Andrew (ENT_000016); Jimmy Cayne (ENT_000017); Les Wexner (ENT_000018); Steven Jude Hoffenberg (ENT_000019); Bear Stearns (ENT_000020); Limited Brands (ENT_000021); Towers Financial (ENT_000022); Vanity Fair (ENT_000023),EVT_003,Vicky Ward,ENT_000011,Jeffrey Epstein,ENT_000001,"Vicky Ward encountered Jeffrey Epstein at multiple social parties after writing her 2003 Vanity Fair article, and had direct conversations with him about his social habits and the young women he brought to events.","I have gotten to know Jeffrey and Ghislaine far better after my piece than before it. I kept running into both of them, separately, at parties. Jeffrey is not a social animal so he usually has a couple of young women with him who stand two feet behind him, as if serving a monarch. 'Do they speak?' I remember asking him once, nodding at his lookalike blondes. He laughed. 'Not like you, Vicky,' was his riposte.",,unknown,,inferred,True,0.78,"Young women positioned directly behind Epstein in servile posture; Description of identical appearance ('lookalike blondes') suggesting curation/selection; Women positioned as non-speaking attendants 'serving a monarch'; Pattern of young women accompanying Epstein at social events; Vague, unnamed young women in controlled positioning","The description of young women in subservient positions, maintaining silence, and appearing interchangeable suggests potential control and grooming. The deliberate positioning and physical uniformity pattern warrants investigative review.",,5145,2195
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_001,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein,ENT_000001,Ghislaine Maxwell initiated a bisexual encounter with Jeffrey Epstein at his Palm Beach house involving explicit physical contact.,Ms Maxwell initiated a bisexual encounter during which Ms Maxwell rubbed her own breasts on Mr Epstein and directed to copy her.,,unknown,"Palm Beach, USA",explicit,False,0.1,,"Describes consensual sexual activity between two adults. No indicators of coercion, control, or involvement of third parties in exploitative context.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_002,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein,ENT_000001,Ghislaine Maxwell wore black vinyl during sex sessions with Jeffrey Epstein at the Palm Beach mansion.,S Maxwell herself wore black vinyl during sex sessions with Mr Epstein.,,unknown,"Palm Beach, USA",explicit,False,0.1,,Describes consensual sexual activity between two adults. No trafficking indicators present.,,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_003,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein,ENT_000001,"Ghislaine Maxwell and Jeffrey Epstein arranged and directed sexual encounters with multiple men, including payment arrangements.","was required to have sex with friends of Ms Maxwell and Mr Epstein, including Glenn Dubin, Les Wexner, Ehud Barak, former Senator George Mitchell and Stephen Kosslyn.",,unknown,,unknown,True,0.95,required to have sex with multiple named individuals; directed sexual encounters arranged by perpetrators; coercion language ('required'); victim forced into sexual services with multiple persons,"Clear indicators of sex trafficking: victim 'required' to perform sexual acts with multiple men arranged and directed by Maxwell and Epstein, suggesting coercion and commercial sexual exploitation.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_004,Ghislaine Maxwell,ENT_000015,Prince Andrew,ENT_000016,Ghislaine Maxwell introduced a victim to Prince Andrew in 2001 at Maxwell's London house and directed sexual encounters between them.,Ms Maxwell introduced to Prince Andrew in 2001 at Ms Maxwell's London house where had sex with him.,2001-01-01,approximate,"London, United Kingdom",explicit,True,0.93,victim introduction to third party by perpetrator; directed sexual encounter with introduced party; arrangement and facilitation of sexual contact; victim identification suggests potential minor at time of incident,"Maxwell's introduction of victim to Prince Andrew followed by directed sexual contact demonstrates procurement and facilitation of sexual services, consistent with sex trafficking patterns.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_005,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein,ENT_000001,Ghislaine Maxwell and Jeffrey Epstein travelled to Little St James where Maxwell directed a victim to stage an orgy.,Ms Maxwell and Mr Epstein subsequently travelled with to Little St James where she was directed to stage an orgy for Andrew and Mr Epstein during which she performed oral sex on them.,,unknown,"Little St James, USA",explicit,True,0.94,victim transport to isolated location (Little St James); directed to stage orgy; forced sexual performance (oral sex); control and direction by perpetrators,"Victim transported to remote island property and directed to perform sexual acts for multiple individuals, demonstrating movement, coercion, and forced sexual services.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_006,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein,ENT_000001,Ghislaine Maxwell and Jeffrey Epstein arranged for Ehud Barak to have sex with multiple girls at Epstein's Palm Beach house.,"Ms Maxwell and Mr Epstein arranged for Ehud Barak to have sex with several girls, often at Mr Epstein's Palm Beach house.",,unknown,"Palm Beach, USA",explicit,True,0.96,multiple girls (reference to minors); arranged sexual access to named individual; repeated pattern ('often') at specific location; procurement of multiple young persons for sexual purposes,"Maxwell and Epstein arranged for sexual access to 'several girls' with a third party on repeated basis, indicating systematic procurement and trafficking of minors for sexual exploitation.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_007,Jeffrey Epstein,ENT_000001,Ghislaine Maxwell,ENT_000015,Jeffrey Epstein purchased a helicopter and homes in New York and London and a Mercedes for Ghislaine Maxwell.,"Mr Epstein bought Ms Maxwell the helicopter, homes in New York and London and a Mercedes.",,unknown,,unknown,True,0.72,expensive gifts and property transfers to co-perpetrator; financial control mechanism; sustaining relationship with trafficking facilitator,"Substantial gifts and property purchases to Maxwell may represent payment/incentive for her role as recruiter and facilitator of trafficking victims, supporting her continued participation.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_008,Mark Cohen,ENT_000024,Jeffrey Epstein,ENT_000001,Mark Cohen forwarded a Mail on Sunday press inquiry about Jeffrey Epstein and Ghislaine Maxwell to Ghislaine Maxwell for potential response direction.,"FYI, following up on my email of this morning. Again, I have no intention of responding unless you direct otherwise.",2011-03-04,exact,,unknown,False,0.15,media inquiry forwarding,"Administrative handling of press inquiry. While context suggests concern about media exposure, the event itself does not contain trafficking indicators without additional context.",,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_009,Jeffrey Epstein,ENT_000001,Martin Weinberg,ENT_000013,Jeffrey Epstein forwarded the Mail on Sunday press inquiry to his attorney Martin Weinberg.,Fwd: FW: Ghislaine Maxwell,2011-03-04,exact,,unknown,False,0.1,,Legal/administrative communication with attorney regarding media inquiry. No trafficking indicators.,,6981,4311
TEXT-001-HOUSE_OVERSIGHT_030589.txt_46,Fwd: FW: Ghislaine Maxwell,Ghislaine Maxwell (ENT_000015); Mark Cohen (ENT_000024); Brett D. Jaffe (ENT_000025); Annette Witheridge (ENT_000026); Mail on Sunday (ENT_000027); Prince Andrew (ENT_000016); Glenn Dubin (ENT_000028); Les Wexner (ENT_000018); Ehud Barak (ENT_000029); George Mitchell (ENT_000030); Stephen Kosslyn (ENT_000031); Bill Clinton (ENT_000007); Martin Weinberg (ENT_000013); Jay Lefkowitz (ENT_000032),EVT_010,Jeffrey Epstein,ENT_000001,Jay Lefkowitz,ENT_000032,Jeffrey Epstein forwarded the Mail on Sunday press inquiry to Jay Lefkowitz.,Fwd: FW: Ghislaine Maxwell,2011-03-04,exact,,unknown,False,0.1,,Legal/administrative communication with counsel regarding media inquiry. No trafficking indicators.,,6981,4311
IMAGES-011-HOUSE_OVERSIGHT_031099.txt_4499,Fwd: Daily News story on Jeffrey Epstein,George Rush (ENT_000033); Howard Rubenstein (ENT_000034); Darren Indyke (ENT_000035); Michael J. Pike (ENT_000036),EVT_001,George Rush,ENT_000033,Howard Rubenstein,ENT_000034,George Rush notified Howard Rubenstein that he was working on a Sunday column story about Jeffrey Epstein and intended to send questions to him. Rush stated he would send the questions to Rubenstein that evening so he would have them first thing the next morning.,"We're working on a story for our Sunday column about Jeffrey Epstein. I thought I might send my questions to you tonight, so you'd have them first thing tomorrow.",2009-10-08,exact,,unknown,False,0.0,,"This event describes routine journalistic communication about a story inquiry. No procurement, transportation, sexual services, coercion, or other trafficking indicators are present.",,3669,1710
